,date,open,close,high,low,volume,code
0,2007-09-05,5799.468,5788.976,5835.277,5710.541,230301057.0,zxb
1,2007-09-06,5806.333,5814.922,5862.422,5803.256,281541032.0,zxb
2,2007-09-07,5765.268,5666.934,5797.466,5646.715,313185682.0,zxb
3,2007-09-10,5619.795,5718.764,5727.813,5583.627,256271560.0,zxb
4,2007-09-11,5721.276,5462.57,5738.882,5436.067,295481240.0,zxb
5,2007-09-12,5423.672,5539.834,5559.314,5407.585,250189093.0,zxb
6,2007-09-13,5546.99,5632.875,5632.875,5540.502,186250572.0,zxb
7,2007-09-14,5643.95,5660.689,5664.679,5519.444,241157825.0,zxb
8,2007-09-17,5642.168,5700.499,5728.827,5624.853,254745524.0,zxb
9,2007-09-18,5704.741,5637.688,5704.741,5568.557,258135930.0,zxb
10,2007-09-19,5644.334,5526.357,5672.227,5488.6,214545546.0,zxb
11,2007-09-20,5543.542,5549.621,5594.147,5469.245,201964504.0,zxb
12,2007-09-21,5577.744,5494.828,5577.744,5406.836,226850866.0,zxb
13,2007-09-24,5498.221,5497.319,5511.499,5438.61,213665278.0,zxb
14,2007-09-25,5548.625,5647.088,5647.088,5526.198,184944088.0,zxb
15,2007-09-26,5672.872,5550.623,5689.479,5530.379,134204372.0,zxb
16,2007-09-27,5550.701,5647.728,5655.167,5518.311,130392108.0,zxb
17,2007-09-28,5675.152,5799.915,5817.805,5675.152,178684806.0,zxb
18,2007-10-08,5893.818,5813.02,5908.806,5757.339,194170679.0,zxb
19,2007-10-09,5798.427,5882.229,5895.251,5736.298,173301806.0,zxb
20,2007-10-10,5890.801,5944.649,5988.626,5859.772,208711910.0,zxb
21,2007-10-11,5931.258,5882.289,5934.81,5866.768,218616734.0,zxb
22,2007-10-12,5875.055,5800.505,5877.397,5514.912,262105380.0,zxb
23,2007-10-15,5768.34,5742.521,5794.485,5681.659,194173104.0,zxb
24,2007-10-16,5747.861,5763.706,5781.474,5689.387,181197264.0,zxb
25,2007-10-17,5757.755,5793.573,5811.527,5741.218,181197147.0,zxb
26,2007-10-18,5812.454,5638.229,5812.454,5619.05,173998526.0,zxb
27,2007-10-19,5643.069,5754.538,5754.538,5606.905,179849088.0,zxb
28,2007-10-22,5687.782,5592.661,5732.444,5582.467,186637433.0,zxb
29,2007-10-23,5590.573,5585.398,5622.378,5486.327,188682543.0,zxb
